x	ch0	ch1	ch2	ch3
489	130	25209	126	25214
490	130	25209	126	25214
491	129	25208	126	25213
492	129	25208	126	25213
493	129	25207	126	25213
494	129	25208	127	25215
495	130	25210	127	25215
496	130	25209	127	25214
497	130	25209	127	25213
498	130	25209	126	25214
499	129	25208	127	25214
500	130	25209	126	25214
501	129	25209	126	25214
502	130	25209	127	25214
503	130	25209	127	25214
504	130	25209	127	25214
505	129	25208	126	25213
506	130	25209	127	25214
507	130	25209	127	25214
508	130	25209	126	25214
509	130	25209	127	25213
510	130	25209	127	25213
511	130	25209	127	25213
512	228	25110	224	25115
513	228	25110	224	25114
514	228	25110	225	25114
515	228	25109	224	25114
516	228	25110	225	25114
517	228	25109	225	25115
518	228	25110	225	25116
519	228	25110	225	25115
520	228	25110	224	25114
521	228	25109	225	25114
522	228	25109	225	25114
523	227	25109	225	25115
524	228	25110	225	25115
525	228	25110	225	25114
526	228	25110	225	25115
527	228	25109	224	25114
528	228	25109	225	25114
529	228	25109	225	25114
530	228	25109	225	25115
531	228	25110	225	25115
532	228	25110	225	25114
533	228	25110	225	25115
534	228	25109	224	25115
535	227	25109	224	25115
536	228	25109	225	25114
537	228	25109	225	25114
538	228	25110	225	25114
539	227	25110	225	25114
540	228	25109	225	25115
541	228	25111	225	25115
542	227	25111	224	25116
543	228	25110	225	25115
544	228	25110	225	25115
545	227	25111	225	25115
546	228	25110	225	25115
547	228	25110	224	25115
548	228	25111	225	25115
549	228	25110	225	25115
550	228	25109	225	25115
551	228	25110	225	25114
552	228	25109	225	25115
553	228	25110	225	25115
554	228	25110	225	25115
555	228	25110	225	25115
556	228	25110	225	25115
557	227	25109	225	25114
558	228	25109	225	25115
559	228	25110	225	25115
560	228	25110	226	25115
561	228	25110	225	25114
562	228	25110	225	25115
563	228	25110	225	25115
564	228	25110	224	25116
565	228	25110	225	25115
566	227	25109	225	25115
567	227	25110	225	25116
568	228	25110	225	25115
569	228	25110	225	25115
570	228	25110	224	25115
571	228	25111	225	25115
572	228	25110	225	25114
573	228	25110	225	25115
574	228	25110	225	25115
575	228	25110	225	25115
576	228	25110	225	25115
577	228	25110	225	25115
578	228	25110	224	25115
579	228	25109	225	25115
580	228	25110	225	25114
581	228	25109	225	25115
582	228	25110	225	25115
583	228	25110	225	25115
584	228	25110	225	25114
585	228	25110	225	25114
586	227	25110	225	25114
587	228	25109	225	25116
588	228	25111	224	25116
589	228	25111	225	25116
590	228	25111	225	25116
591	228	25111	225	25116
592	228	25111	225	25116
593	228	25111	224	25116
594	228	25111	224	25116
595	227	25111	225	25116
596	228	25111	224	25116
597	228	25111	225	25116
598	228	25110	225	25116
599	228	25111	224	25116
600	228	25111	225	25116
601	228	25110	224	25115
