x	ch0	ch1	ch2	ch3
719	227	25105	225	25110
720	228	25105	225	25110
721	228	25106	226	25110
722	228	25105	225	25110
723	228	25105	225	25110
724	228	25106	225	25111
725	228	25105	225	25110
726	228	25105	225	25110
727	227	25104	225	25110
728	228	25105	225	25110
729	228	25105	226	25111
730	228	25106	225	25110
731	228	25106	225	25109
732	228	25105	225	25110
733	228	25105	225	25109
734	228	25105	226	25109
735	228	25104	226	25110
736	229	25106	225	25110
737	228	25106	226	25110
738	228	25106	226	25111
739	228	25105	225	25110
740	228	25105	225	25109
741	228	25105	225	25110
742	228	25106	225	25111
743	228	25106	225	25110
744	228	25106	225	25110
745	228	25105	226	25110
746	228	25105	225	25110
747	228	25105	225	25110
748	228	25105	225	25110
749	228	25105	225	25110
750	228	25105	226	25110
751	228	25105	225	25109
752	228	25105	225	25110
753	228	25106	226	25110
754	228	25106	225	25110
755	228	25105	225	25109
756	227	25105	226	25110
757	228	25105	225	25109
758	229	25104	225	25110
759	228	25106	225	25111
760	228	25107	225	25111
761	228	25106	225	25111
762	228	25106	225	25111
763	228	25105	225	25110
764	228	25105	225	25111
765	228	25106	225	25111
766	228	25107	226	25111
767	228	25106	225	25110
768	327	25006	323	25011
769	326	25006	323	25010
770	326	25005	323	25011
771	326	25006	323	25011
772	326	25006	324	25011
773	326	25006	324	25011
774	326	25006	324	25011
775	326	25005	323	25010
776	326	25006	323	25011
777	326	25006	324	25011
778	326	25006	324	25011
779	327	25006	323	25011
780	326	25006	324	25011
781	327	25006	324	25010
782	327	25007	324	25011
783	326	25006	323	25011
784	326	25006	323	25011
785	326	25006	323	25011
786	326	25007	323	25011
787	327	25006	324	25010
788	326	25006	324	25011
789	326	25006	324	25011
790	327	25006	324	25011
791	326	25006	323	25011
792	326	25007	323	25010
793	326	25006	324	25011
794	326	25006	324	25011
795	326	25006	324	25011
796	326	25006	324	25011
797	326	25006	323	25011
798	327	25005	324	25010
799	326	25005	323	25011
800	326	25006	323	25011
801	326	25007	324	25010
802	326	25006	324	25011
803	326	25006	324	25011
804	326	25006	324	25010
805	326	25005	323	25012
806	326	25007	324	25012
807	326	25006	323	25011
808	326	25006	323	25011
809	326	25007	324	25011
810	326	25007	324	25011
811	327	25007	324	25012
812	326	25006	323	25011
813	326	25007	323	25011
814	326	25006	323	25011
815	326	25005	324	25011
816	326	25006	323	25011
817	326	25007	324	25011
818	326	25007	324	25011
819	326	25006	323	25010
820	326	25006	323	25011
821	326	25006	323	25011
822	326	25006	323	25010
823	326	25007	324	25012
824	327	25006	324	25011
825	327	25006	324	25011
826	326	25006	324	25011
827	326	25006	323	25010
828	326	25005	323	25011
829	326	25007	323	25011
830	326	25006	323	25011
831	326	25006	323	25011
832	327	25007	324	25011
833	327	25006	324	25011
834	326	25006	323	25011
835	326	25006	323	25011
836	326	25005	323	25011
837	326	25006	323	25011
838	327	25006	323	25011
839	326	25006	323	25011
840	327	25007	323	25012
841	326	25006	324	25011
842	326	25006	324	25011
843	326	25006	323	25010
844	326	25005	323	25010
845	326	25006	324	25010
846	326	25007	323	25011
847	326	25006	324	25011
848	326	25006	323	25010
849	327	25006	323	25010
850	326	25005	323	25010
851	327	25005	323	25010
852	326	25007	324	25012
853	327	25007	324	25011
854	327	25007	324	25012
855	326	25006	323	25012
856	326	25006	323	25010
857	326	25007	323	25012
858	326	25007	323	25012
859	326	25007	323	25012
860	327	25007	323	25011
861	326	25007	324	25012
862	326	25007	323	25011
863	326	25006	324	25011
864	326	25007	323	25011
865	326	25006	323	25011
866	326	25006	323	25011
867	326	25007	324	25011
868	326	25006	323	25011
869	326	25006	323	25011
870	327	25007	324	25012
871	326	25006	323	25011
872	326	25006	323	25011
873	326	25006	323	25011
874	326	25006	324	25011
875	326	25007	324	25012
876	327	25007	324	25012
877	326	25006	323	25011
878	326	25006	323	25011
879	326	25006	323	25011
880	326	25006	323	25010
